STT,SBD,MA_TINH,TOAN,VAN,LI,HOA,SINH,SU,DIA,KTPL,T_ANH,A00,A01,B00,C00,D01
570509,28000151,28,2.5,7.0,,,,5.25,,8.0,,,,,,
570510,28000152,28,7.5,8.5,5.85,,,,,,5.75,,19.1,,,21.75
570511,28000153,28,3.75,8.5,,,,8.0,,,6.75,,,,,19.0
570512,28000154,28,6.75,8.0,,,,,6.85,,6.0,,,,,20.75
570513,28000155,28,6.0,8.5,,,,,,9.0,5.75,,,,,20.25
570514,28000156,28,5.25,8.25,,,,6.6,,,5.75,,,,,19.25
570515,28000157,28,8.5,7.5,8.5,8.5,,,,,,25.5,,,,
570516,28000158,28,4.1,8.5,,,,,,7.5,5.0,,,,,17.6
570517,28000159,28,3.1,8.0,,,,,3.0,7.0,,,,,,
570518,28000160,28,1.85,5.5,,,,,6.0,7.5,,,,,,
570519,28000161,28,4.25,8.0,,,,,7.5,,,,,,,
570520,28000162,28,9.0,7.0,8.75,8.0,,,,,,25.75,,,,
570521,28000163,28,7.5,6.75,7.5,6.1,,,,,,21.1,,,,
570522,28000164,28,7.75,9.0,,,,9.5,10.0,,,,,,28.5,
570523,28000165,28,3.25,7.25,,,4.6,7.1,,,,,,,,
570524,28000166,28,9.0,7.5,8.0,9.25,,,,,,26.25,,,,
570525,28000167,28,8.5,8.0,8.25,,,,,,5.75,,22.5,,,22.25
570526,28000168,28,5.5,7.25,,,,6.75,,,4.25,,,,,17.0
570527,28000169,28,8.5,8.5,9.75,9.5,,,,,,27.75,,,,
570528,28000170,28,2.85,6.75,,,,6.25,,,4.5,,,,,14.1
570529,28000171,28,7.5,8.0,,,,,7.5,,8.25,,,,,23.75
570530,28000172,28,8.5,8.0,8.75,,,,,,6.5,,23.75,,,23.0
570531,28000173,28,8.0,8.75,8.25,7.25,,,,,,23.5,,,,
570532,28000174,28,9.0,8.25,9.25,,,,,,7.0,,25.25,,,24.25
570533,28000175,28,3.85,5.75,,,,,5.6,8.0,,,,,,
570534,28000176,28,5.0,8.25,,,,,8.25,,5.0,,,,,18.25
570535,28000177,28,8.0,7.25,7.75,,,,,,4.75,,20.5,,,20.0
570536,28000178,28,2.6,5.0,5.25,,,4.1,,,,,,,,
570537,28000179,28,2.0,7.5,,,,,4.85,7.5,,,,,,
570538,28000180,28,3.7,8.75,,,,,,8.0,6.25,,,,,18.7
570539,28000181,28,2.0,5.5,,,,,5.1,4.35,,,,,,
570540,28000182,28,7.6,8.5,,,,8.75,,,7.0,,,,,23.1
570541,28000183,28,7.25,6.5,7.0,5.6,,,,,,19.85,,,,
570542,28000184,28,6.0,9.25,,,,,10.0,,7.0,,,,,22.25
570543,28000185,28,8.0,8.75,,,,7.5,,,6.0,,,,,22.75
570544,28000186,28,4.5,9.0,,,,8.75,9.25,,,,,,27.0,
570545,28000187,28,5.5,8.25,8.5,7.0,,,,,,21.0,,,,
570546,28000188,28,8.75,8.25,8.5,,,,,,6.75,,24.0,,,23.75
570547,28000189,28,3.1,7.0,,,,,5.6,8.0,,,,,,
570548,28000190,28,8.0,9.25,7.0,,,,,,5.5,,20.5,,,22.75
570549,28000191,28,6.0,9.25,,,,,5.35,,4.25,,,,,19.5
570550,28000192,28,5.25,8.25,,,,,5.5,,6.75,,,,,20.25
570551,28000193,28,3.6,7.75,,,,,6.1,7.25,,,,,,
570552,28000194,28,6.25,7.5,6.35,3.95,,,,,,16.55,,,,
570553,28000195,28,3.75,8.75,,,,,,6.0,5.5,,,,,18.0
570554,28000196,28,9.0,7.75,9.5,,,,,,5.25,,23.75,,,22.0
570555,28000197,28,4.35,5.75,4.85,,,,,,5.25,,14.45,,,15.35
570556,28000198,28,7.25,6.75,8.25,7.25,,,,,,22.75,,,,
570557,28000199,28,8.5,7.5,10.0,8.25,,,,,,26.75,,,,
570558,28000200,28,8.5,7.5,8.5,,,,,,4.75,,21.75,,,20.75
570559,28000201,28,8.5,7.25,,8.75,7.0,,,,,,,24.25,,
570560,28000202,28,9.0,7.75,,9.75,7.75,,,,,,,26.5,,
570561,28000203,28,3.75,6.75,,,,7.25,,8.75,,,,,,
570562,28000204,28,4.25,7.5,,,,,4.45,,5.5,,,,,17.25
570563,28000205,28,7.0,7.5,8.25,5.5,,,,,,20.75,,,,
570564,28000206,28,7.75,6.75,,7.5,7.5,,,,,,,22.75,,
570565,28000207,28,8.25,7.0,9.75,6.75,,,,,,24.75,,,,
570566,28000208,28,3.35,6.25,4.35,5.25,,,,,,12.95,,,,
570567,28000209,28,6.35,7.0,8.25,6.25,,,,,,20.85,,,,
570568,28000210,28,5.75,7.75,5.35,,,,,,3.25,,14.35,,,16.75
570569,28000211,28,5.6,7.75,8.0,,,,,,5.0,,18.6,,,18.35
570570,28000212,28,9.5,5.25,9.5,6.5,,,,,,25.5,,,,
570571,28000213,28,7.0,9.0,,,,,9.0,,7.25,,,,,23.25
570572,28000214,28,4.75,6.75,,,,,,7.35,3.25,,,,,14.75
570573,28000215,28,8.25,6.0,9.5,,,,,,7.75,,25.5,,,22.0
570574,28000216,28,6.25,7.75,,,,6.5,,,4.75,,,,,18.75
570575,28000217,28,8.25,8.25,,,,8.25,,,5.75,,,,,22.25
570576,28000218,28,3.95,7.5,,,,7.75,,,6.0,,,,,17.45
570577,28000219,28,1.5,6.75,,,,,5.1,9.0,,,,,,
